和名,英名
どろぼう,Thief
ドわすれ,Amnesia
とんぼがえり,U-turn
ないしょばなし,Confide
ナイトバースト,Night Daze
ナイトヘッド,Night Shade
ナインエボルブースト,Extreme Evoboost
なかまづくり,Entrainment
なかよくする,Play Nice
なきごえ,Growl
なげつける,Fling
なしくずし,Chip Away
なまける,Slack Off
なみだめ,Tearful Look
なみのり,Surf
なやみのタネ,Worry Seed
なりきり,Role Play
にぎりつぶす,Crush Grip
にどげり,Double Kick
ニードルアーム,Needle Arm
ニードルガード,Spiky Shield
ニトロチャージ,Flame Charge
にほんばれ,Sunny Day
にらみつける,Leer
ねがいごと,Wish
ねこだまし,Fake Out
ねごと,Sleep Talk
ネコにこばん,Pay Day
ねこのて,Assist
ネズミざん,Population Bomb
ねっさのあらし,Sandsear Storm
ねっさのだいち,Scorching Sands
ねっとう,Scald
ねっぷう,Heat Wave
ねばねばネット,Sticky Web
ねむりごな,Sleep Powder
ねむる,Rest
ねらいうち,Snipe Shot
ねをはる,Ingrain
ねんりき,Confusion
のしかかり,Body Slam
のみこむ,Swallow
のろい,Curse
はいすいのじん,No Retreat
ハイドロカノン,Hydro Cannon
ハイドロスチーム,Hydro Steam
ハイドロポンプ,Hydro Pump
ハイパーダーククラッシャー,Malicious Moonsault
ハイパードリル,Hyper Drill
ハイパーボイス,Hyper Voice
はいよるいちげき,Skitter Smack
はかいこうせん,Hyper Beam
ばかぢから,Superpower
はがねのつばさ,Steel Wing
はきだす,Spit Up
バークアウト,Snarl
ばくおんぱ,Boomburst
ばくれつパンチ,Dynamic Punch
ハサミギロチン,Guillotine
はさむ,Vise Grip
はじけるほのお,Flame Burst
はたきおとす,Knock Off
はたく,Pound
ばちばちアクセル,Zippy Zap
はっけい,Force Palm
はっぱカッター,Razor Leaf
ハッピータイム,Happy Hour
はどうだん,Aura Sphere
ハートスタンプ,Heart Stamp
ハートスワップ,Heart Swap
ハードプラント,Frenzy Plant
ハードプレス,Hard Press
ハードローラー,Steamroller
バトンタッチ,Baton Pass
はなびらのまい,Petal Dance
はなふぶき,Petal Blizzard
はねやすめ,Roost
はねる,Splash
ハバネロエキス,Spicy Extract
バブルこうせん,Bubble Beam
はめつのねがい,Doom Desire
はめつのひかり,Light of Ruin
はやてがえし,Upper Hand
はらだいこ,Belly Drum
パラボラチャージ,Parabolic Charge
バリアー,Barrier
バリアーラッシュ,Psyshield Bash
はるのあらし,Springtide Storm
バレットパンチ,Bullet Punch
ハロウィン,Trick-or-Treat
パワーウィップ,Power Whip
パワーシェア,Power Split
パワージェム,Power Gem
パワーシフト,Power Shift
パワースワップ,Power Swap
パワートリック,Power Trick
パワフルエッジ,Mighty Cleave
バーンアクセル,Blazing Torque
ピカピカサンダー,Pika Papow
ひかりのかべ,Light Screen
ひけん・ちえなみ,Ceaseless Edge
ひっかく,Scratch
ひっくりかえす,Topsy-Turvy
ビックリヘッド,Mind Blown
ひっさつのピカチュート,Catastropika
ひっさつまえば,Hyper Fang
ヒートスタンプ,Heat Crash
ひのこ,Ember
ひみつのちから,Secret Power
ひゃっきやこう,Infernal Parade
ひやみず,Chilling Water
ひょうざんおろし,Mountain Gale
ピヨピヨパンチ,Dizzy Punch
びりびりエレキ,Buzzy Buzz
びりびりちくちく,Zing Zap
ビルドアップ,Bulk Up
ファイトアクセル,Combat Torque
ファイナルダイブクラッシュ,Supersonic Skystrike
ファストガード,Quick Guard
ふいうち,Sucker Punch
ブイブイブレイク,Veevee Volley
ふういん,Imprison
フェアリーロック,Fairy Lock
フェイタルクロー,Dire Claw
フェイント,Feint
フェザーダンス,Feather Dance
フォトンゲイザー,Photon Geyser
ふきとばし,Whirlwind
ぶきみなじゅもん,Eerie Spell
ふくろだたき,Beat Up
ふしょくガス,Corrosive Gas
ぶちかまし,Headlong Rush
ふぶき,Blizzard
ふみつけ,Stomp
フライングプレス,Flying Press
ブラストバーン,Blast Burn
プラズマシャワー,Ion Deluge
プラズマフィスト,Plasma Fists
ブラックホールイクリプス,Black Hole Eclipse
フラッシュ,Flash
ブラッドムーン,Blood Moon
フラフラダンス,Teeter Dance
フラワーガード,Flower Shield
フラワーヒール,Floral Healing
ブリザードランス,Glacial Lance
フリーズドライ,Freeze-Dry
フリーズボルト,Freeze Shock
プリズムレーザー,Prismatic Laser
フリーフォール,Sky Drop
ふるいたてる,Work Up
ブルームシャインエクストラ,Bloom Doom
フルールカノン,Fleur Cannon
フレアソング,Torch Song
フレアドライブ,Flare Blitz
ブレイククロー,Crush Claw
ブレイジングソウルビート,Clangorous Soulblaze
ブレイズキック,Blaze Kick
ブレイブチャージ,Take Heart
ブレイブバード,Brave Bird
プレゼント,Present
ブロッキング,Obstruct
ふわふわフォール,Floaty Fall
ふんえん,Lava Plume
ふんか,Eruption
ふんじん,Powder
ふんどのこぶし,Rage Fist
ぶんまわす,Brutal Swing
ヘドロウェーブ,Sludge Wave
ヘドロこうげき,Sludge
ヘドロばくだん,Sludge Bomb
ベノムショック,Venoshock
ベノムトラップ,Venom Drench
へびにらみ,Glare
ヘビーボンバー,Heavy Slam
へんしん,Transform
ポイズンアクセル,Noxious Torque
ポイズンテール,Poison Tail
ホイールスピン,Spin Out
ぼうぎょしれい,Defend Order
ほうでん,Discharge
ぼうふう,Hurricane
ほうふく,Comeuppance
ほえる,Roar
ほおばる,Stuff Cheeks
ぽかぼかフレンドタイム,Let's Snuggle Forever
ほごしょく,Camouflage
ほしがる,Covet
ほたるび,Tail Glow
ほっぺすりすり,Nuzzle
ボディパージ,Autotomize
ボディプレス,Body Press
ホネこんぼう,Bone Club
ホネブーメラン,Bonemerang
ほのおのうず,Fire Spin
ほのおのキバ,Fire Fang
ほのおのちかい,Fire Pledge
ほのおのパンチ,Fire Punch
ほのおのまい,Fiery Dance
ほのおのムチ,Fire Lash
ポルターガイスト,Poltergeist
ボルテッカー,Volt Tackle
ボルトチェンジ,Volt Switch
ほろびのうた,Perish Song
ほんきをだす こうげき,Pulverizing Pancake
ボーンラッシュ,Bone Rush
マキシマムサイブレイカー,Shattered Psyche
まきつく,Wrap
まきびし,Spikes
マグニチュード,Magnitude
マグネットボム,Magnet Bomb
マグマストーム,Magma Storm
マジカルアクセル,Magical Torque
マジカルシャイン,Dazzling Gleam
マジカルフレイム,Mystical Fire
マジカルリーフ,Magical Leaf
マジックコート,Magic Coat
マジックルーム,Magic Room
マッドショット,Mud Shot
マッハパンチ,Mach Punch
まとわりつく,Infestation
まねっこ,Copycat
まほうのこな,Magic Powder
まもる,Protect
まるくなる,Defense Curl
マルチアタック,Multi-Attack
まわしげり,Rolling Kick
みかづきのいのり,Lunar Blessing
みかづきのまい,Lunar Dance
みがわり,Substitute
みきり,Detect
ミサイルばり,Pin Missile
みずあそび,Water Sport
みずあめボム,Syrup Bomb
みずしゅりけん,Water Shuriken
みずでっぽう,Water Gun
ミストバースト,Misty Explosion
ミストフィールド,Misty Terrain
ミストボール,Mist Ball
みずのちかい,Water Pledge
みずのはどう,Water Pulse
みずびたし,Soak
みだれづき,Fury Attack
みだれひっかき,Fury Swipes
みちづれ,Destiny Bond
みねうち,False Swipe
みやぶる,Foresight
みらいよち,Future Sight
ミラクルアイ,Miracle Eye
ミラーコート,Mirror Coat
ミラーショット,Mirror Shot
ミラータイプ,Reflect Type
ミルクのみ,Milk Drink
みわくのボイス,Alluring Voice
みをけずる,Fillet Away
むげんあんやへのいざない,Never-Ending Nightmare
ムゲンダイビーム,Eternabeam
むしくい,Bug Bite
むしのさざめき,Bug Buzz
むしのていこう,Struggle Bug
むねんのつるぎ,Bitter Blade
ムーンフォース,Moonblast
ムーンライトブラスター,Menacing Moonraze Maelstrom
めいそう,Calm Mind
メガドレイン,Mega Drain
メガトンキック,Mega Kick
メガトンパンチ,Mega Punch
メガホーン,Megahorn
めざましビンタ,Wake-Up Slap
めざめるダンス,Revelation Dance
めざめるパワー,Hidden Power
メタルクロー,Metal Claw
メタルバースト,Metal Burst
メテオドライブ,Sunsteel Strike
メテオビーム,Meteor Beam
めらめらバーン,Sizzly Slide
メロメロ,Attract
もえあがるいかり,Fiery Wrath
もえつきる,Burn Up
ものまね,Mimic
もりののろい,Forest's Curse
もろはのずつき,Head Smash
やきつくす,Incinerate
やけっぱち,Temper Flare
やつあたり,Frustration
やどりぎのタネ,Leech Seed
やまあらし,Storm Throw
ゆうわく,Captivate
ゆきげしき,Snowscape
ゆきなだれ,Avalanche
ゆびをふる,Metronome
ゆめくい,Dream Eater
ようかいえき,Acid
ようせいのかぜ,Fairy Wind
ヨガのポーズ,Meditate
よこどり,Snatch
らいげき,Bolt Strike
ライジングボルト,Rising Voltage
ライジングランドオーバー,Tectonic Rage
ライトニングサーフライド,Stoked Sparksurfer
らいめいげり,Thunderous Kick
ラジアルエッジストーム,Splintered Stormshards
ラスターカノン,Flash Cannon
ラスターパージ,Luster Purge
ラブリースターインパクト,Twinkle Tackle
リサイクル,Recycle
リーフストーム,Leaf Storm
リーフブレード,Leaf Blade
リフレクター,Reflect
リフレッシュ,Refresh
リベンジ,Revenge
りゅうせいぐん,Draco Meteor
りゅうのいかり,Dragon Rage
りゅうのいぶき,Dragon Breath
りゅうのはどう,Dragon Pulse
りゅうのまい,Dragon Dance
りんごさん,Apple Acid
りんしょう,Round
ルミナコリジョン,Lumina Crash
レイジングジオフリーズ,Subzero Slammer
レイジングブル,Raging Bull
れいとうパンチ,Ice Punch
れいとうビーム,Ice Beam
れんごく,Inferno
れんぞくぎり,Fury Cutter
れんぞくパンチ,Comet Punch
ローキック,Low Sweep
ロケットずつき,Skull Bash
ロックオン,Lock-On
ロックカット,Rock Polish
ロッククライム,Rock Climb
ロックブラスト,Rock Blast
ワイドガード,Wide Guard
ワイドフォース,Expanding Force
ワイドブレイカー,Breaking Swipe
ワイルドボルト,Wild Charge
わだつみのシンフォニア,Oceanic Operetta
わたほうし,Cotton Spore
わるあがき,Struggle
ワールズエンドフォール,Continental Crush
わるだくみ,Nasty Plot
わるわるゾーン,Baddy Bad
ワンダースチーム,Strange Steam
ワンダールーム,Wonder Room
